lat,lng,Name,Type,Region,WetCave,Depth,Length,ShortDescription,LongDescription,RiggingGuide,Survey,EntranceImage,Image,SRT,Gear,FutherDescription
-3.6812,51.8309,"Aggy's Cave, Dan-yr-Ogof",Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6278,51.7631,Baker's Pit Cave,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6608,51.7859,Upper Flood Swallet,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6345,51.8053,Bone Cave,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.635,51.8113,BP7,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6298,51.7858,Cave of the Winds,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6383,51.8179,Cathedral Cave,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6645,51.8149,Chwarel y Fan,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6428,51.8228,Craig y Ffynnon,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.635,51.8142,Croydon Cave,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6812,51.8309,Dan-yr-Ogof,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6563,51.7745,Porth Drain,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.628,51.7633,Dufferin Cave,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.645,51.8225,Fforest Fawr,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.645,51.8225,Gap Cave,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.628,51.7633,Garn Las,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6298,51.7858,Giant's Hole,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.628,51.7633,Glynneath Cave,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.628,51.7633,Grape Passage,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.628,51.7633,Gwal Slots,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.628,51.7633,Henllyd Swallet,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.628,51.7633,Lester's Pot,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.628,51.7633,Little Neath River Cave,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6608,51.7859,Lower Flood Swallet,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6645,51.8149,Ogof y Ci,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6645,51.8149,Ogof Capel,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6645,51.8149,Ogof Ffynnon Ddu,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.2294,53.1757,Ogof Hesp Alyn,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6645,51.8149,Ogof Nant Rhin,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6645,51.8149,Ogof y Garreg,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6645,51.8149,Ogof y Genedl,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.628,51.7633,Pwll y Cwm,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.628,51.7633,Red Cow Cave,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-2.50996933,54.20801932,tiptop,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50275171,54.19214518,akahole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50276099,54.19205087,akahole.GPS,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.43932869,54.20378496,heronpot.topentrance,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.44119807,54.2070056,heronpot.bottomentrance,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.49432244,54.2222465,boundarypot.bdy1,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.49790019,54.22078533,wretchedrabbit.wra,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51633225,54.22229815,cowpot.cw,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.49660228,54.22141361,poolsink.p1a,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.49173685,54.22471946,topsink.t01c,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.49942995,54.21987765,countypot.cya,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.49859924,54.22054427,cornersink.cns1,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.49885199,54.22012423,swindonhole.swh,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.4968149,54.22107337,theborehole.b01,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.47062878,54.19261214,swinsto.swi01.1,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50574368,54.20662503,rumblinghole_2.101,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.48257542,54.18010822,brokenribpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.4975462,54.22097445,slitsinks.ss02.029,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.5120301,54.21410298,peterson.pep.000,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.46136734,54.20046707,greenlaidspot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51300889,54.21754119,mistral.ms,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.5098564,54.21775454,linkpot.lk01,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.49789132,54.22074933,newcave.new01,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.5055497,54.21147906,byegeorge.bg1,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51676085,54.22106458,lancasterhole.l1,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51177802,54.19992185,kangohole.004,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50197551,54.21994427,sylvesterpot.syl2.024,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.49752079,54.22099181,newslitsinks.nss01.024,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.48945808,54.18557178,skylark_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51744494,54.21057474,aluminiumbar_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.45758392,54.20488535,apprentice_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.45299868,54.20616092,backdoor_stream,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.47002086,54.19306389,beadstead_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.46955599,54.19261633,blood_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.46666036,54.19406558,brokenspring_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.45849177,54.2038034,calf_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.45802791,54.20344567,cow_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.47818255,54.18314554,creakingdeath_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51589925,54.19727993,deaddobbin_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.46956517,54.19342517,doublethree_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.46953969,54.1911784,drip_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.46776442,54.18407138,keld_head.ent,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.45274012,54.20635063,midas,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.47303466,54.18855836,fagpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.45125184,54.21046347,battycave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.47455985,54.18792323,buzzerspot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.45554918,54.20666358,slopinghole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.47284653,54.18550336,keldnookcave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.4765447,54.18728627,sheepfoldpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.48026205,54.18673225,kale_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.48558345,54.18707041,drifterpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.48399748,54.18773288,forgetmepot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.48568505,54.18266613,towscarcave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.44910362,54.19132592,kingpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.47636562,54.18504011,rapunzelpot1,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.4765447,54.18728627,sheepfoldpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.48650602,54.18733631,highplainpot2,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.45363356,54.20813577,slantingcave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.45788753,54.20461457,craftsmanspot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.44113952,54.20108211,brownhillpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.44475081,54.19477762,spectaclepot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.47950793,54.17983288,cheesepressstonedig,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.48616263,54.18419208,unnamedandpreviouslyenjoyed,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.47947177,54.18862277,fathom_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.48726691,54.18688386,highplain_pot1,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50651406,54.20693635,humblepot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.47825589,54.17622489,hunts_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.47376899,54.18576936,keldnook_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.46794831,54.18597187,keldscar_cave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.49203424,54.18830246,lamb_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.45269207,54.20616208,levitation_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50581845,54.20019868,lost_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50581845,54.20019868,lostpot_sink,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51602807,54.20761496,meridian_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.48664025,54.18571802,motheringsunday_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.47276204,54.19152529,new_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50981708,54.20126031,newrift_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.49092641,54.18534112,northendquarry_cave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.515849,54.20554861,owlfingerhole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.45621541,54.20590612,palmate_hole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51212098,54.21401272,yeadon_pipikin_surface_survey.petersonspot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.45454752,54.20759307,plantation_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.4760602,54.1851312,rapunzel_pot2,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.46972046,54.19360431,red_cave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.47684819,54.17371398,rolandrats_hole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.47362206,54.17291784,safari_cave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50789713,54.20720015,shortlongdrop_cave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.4587904,54.20308327,shout_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.46820007,54.19468873,simpson_cave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.46713839,54.19568147,simpson_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.46955599,54.19261633,suicide_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.47185175,54.19233773,swinsto_south,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.46831166,54.19100343,thorney_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.46902762,54.17302571,thorntonforce_cave1,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.46902762,54.17302571,thorntonforce_cave2,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50596514,54.19965882,tosspot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.47762252,54.18773137,track_cave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.47913825,54.18628736,unnamed_shaft1,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.47990337,54.18619443,unnamed_shaft2,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51539357,54.20591006,valentine_sink,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.4526105,54.19870281,valley_exit,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.4587904,54.20308327,whisper_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.4628121,54.20026092,jinglingpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.5195885,54.21259101,witchesii-2.002,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51970648,54.226366,bullpotofthewitches,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51029006,54.21552778,pipsink.pipws.34,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51287714,54.20588791,gavelpot.gvl2.000,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.46271997,54.19154992,valleyentrance.0,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50700551,54.20730483,longdrop,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50864514,54.20209571,startinghandlehole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.46776442,54.18407138,keld_headseries.kh01,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50486741,54.20684476,rumblingbeckcave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51880062,54.21636599,kirkpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.46411009,54.19686326,rowtenpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.46250022,54.1999099,aquamole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.46271997,54.19154992,roof_tunnel,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51787632,54.21681529,peglegpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50823166,54.20822331,bumblinghole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.46340724,54.20018467,jinglingcavetop2.9x,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.52240624,54.21460864,witchescave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.45811866,54.20361159,bullpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.49145774,54.18832926,surfacemarblesteps2sink,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.49179767,54.18830622,surfacemarblesteps.003,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.49145774,54.18832926,surfacemarblesteps.007,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.49147662,54.18838374,surfacemarblesteps.008,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.5236767,54.21462146,leckbeckheadwesteast.10,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.46885844,54.19236704,turbarypot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51413417,54.20819825,weepot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51243811,54.19940317,nottsii,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51332161,54.20942473,lambtrap,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.48213301,54.1877631,pilgrimpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.48216882,54.18793003,bleadubspot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50700551,54.20730483,shortlongdrop,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50625758,54.20251362,lostjohnstag,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.5049462,54.20608975,coalhole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.52327252,54.21474499,leckbeckheadwesteast.1,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50581499,54.20241141,roughpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50699676,54.20505136,shortdrop,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.46316042,54.20025113,jinglingcavetop.3,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.4641099,54.19714672,rowtencavebottom.3,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50979356,54.20735391,eyeholes.004,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.48237851,54.18017156,brokenribcave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.52338889,54.21486492,leckbeckheadwesteast.5,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.4633267,54.20024708,jinglingcavetop.7,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.46556873,54.1970318,rowtencavetop.13,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51885965,54.21632844,kirkpot2.31,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51885238,54.21636073,kirkpot2.35,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51010312,54.21553899,pipsink,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51151537,54.20895986,bruntskillpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.45299664,54.20671743,yordas1.1,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.46601613,54.19686623,rowtencavetop.1,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.4640372,54.1971568,rowtencavebottom.6,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.46573292,54.19699342,rowtencavetop.9,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.46424231,54.1989082,jinglingmiddle.21,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.46439385,54.19699005,rowtencavemiddle.26e,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.49148108,54.18838543,surfacemarblesteps2sink.003,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51055816,54.2153699,yeadon_pipikin_surface_survey.pipikinentrance,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50579502,54.19996187,boxheadpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51474931,54.21418936,yeadon_pipikin_surface_survey.crosshall-nearwaterfall,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51464622,54.2118935,yeadon_pipikin_surface_survey.endofdive,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.46250022,54.1999099,aquamole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50624542,54.20733481,byron,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.5017695,54.19074364,ireby,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.48288772,54.18761681,mohole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.48721892,54.18362465,nnepot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.49544182,54.18580355,lowdouk,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.49312219,54.18681436,riftpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.48847957,54.18646004,largepot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50566079,54.1948962,nottspot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.5156738,54.21450895,potblack,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50638457,54.19704206,shep_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51247158,54.20719596,bigmeanie,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.48358571,54.18761374,brollypot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.48832653,54.18642543,littlepot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.48719441,54.18354656,northendpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50539102,54.19589988,perilouspot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50691109,54.19351236,pinocchiopot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51611871,54.20728581,cockaminecave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.44305098,54.19329638,vesperpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51077896,54.20707139,deathsheadhole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.45286886,54.18430718,crescentpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.46100077,54.18116126,illusionpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.44211941,54.1923607,growlinghole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.45114924,54.18980173,lordstophole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50566671,54.20668691,rumblingmain,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50591082,54.19404727,hopelesspot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50654222,54.19638468,excellent_entrance,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51388172,54.2086851,fenwick_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51571946,54.21277139,yeadon_pipikin_surface_survey.gourhall,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.5128205,54.21470304,yeadon_pipikin_surface_survey.hallof10_mountainking_jct,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51309781,54.21409053,yeadon_pipikin_surface_survey.hallofthedamned,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50532568,54.20002792,itsacracker,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51233866,54.2144032,yeadon_pipikin_surface_survey.smokeyhole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.5115611,54.20047802,thecupcake,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.5092446,54.19896168,voldemort,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51311664,54.21395159,yeadon_pipikin_surface_survey.waterfallchambersump,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.4445376,54.17491613,dalebarncave.newentrance,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.4436588,54.17490985,dalebarncave.oldentrance,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
